txn_date,narration,utr,credit_paise,debit_paise,balance_paise
2026-01-08,Razorpay Settlement UTR: UTR0000000001,UTR0000000001,2203999,0,102203999
2026-01-21,Razorpay Settlement UTR: UTR0000000023,UTR0000000023,8908094,0,201792712
2026-01-25,Razorpay Settlement UTR: UTR0000000015,UTR0000000015,579769,0,169986498
2026-02-03,Razorpay Settlement UTR: UTR0000000007,UTR0000000007,4852683,0,123540523
2026-02-03,Razorpay Settlement UTR: UTR0000000026,UTR0000000026,2595550,0,225123344
2026-02-04,Razorpay Settlement UTR: UTR0000000028,UTR0000000028,6493437,0,241356359
2026-02-05,Razorpay Settlement UTR: UTR0000000032,UTR0000000032,1801509,0,261143789
2026-02-10,Razorpay Settlement UTR: UTR0000000017,UTR0000000017,2488278,0,182439983
2026-02-13,Razorpay Settlement UTR: UTR0000000020,UTR0000000020,4222214,0,191473839
2026-02-18,Razorpay Settlement UTR: UTR0000000027,UTR0000000027,9739578,0,234862922
2026-02-24,Razorpay Settlement UTR: UTR0000000014,UTR0000000014,9621212,0,169406729
2026-03-04,Razorpay Settlement UTR: UTR0000000019,UTR0000000019,2721380,0,187251625
2026-03-05,Razorpay Settlement UTR: UTR0000000013,UTR0000000013,10243002,0,159785517
2026-03-11,Razorpay Settlement UTR: UTR0000000029,UTR0000000029,3360683,0,244717042
2026-04-04,Razorpay Settlement UTR: UTR0000000021,UTR0000000021,-2651784,0,188822055
2026-04-08,Razorpay Settlement UTR: UTR0000000003,UTR0000000003,454121,0,109780128
2026-04-08,Razorpay Settlement UTR: UTR0000000011,UTR0000000011,9870263,0,146029173
2026-04-12,Razorpay Settlement UTR: UTR0000000018,UTR0000000018,2090262,0,184530245
2026-05-02,Razorpay Settlement UTR: UTR0000000008,UTR0000000008,5764578,0,129305101
2026-05-09,Razorpay Settlement UTR: UTR0000000031,UTR0000000031,8439112,0,259342280
2026-05-12,Razorpay Settlement UTR: UTR0000000009,UTR0000000009,6529538,0,135834639
2026-05-15,Razorpay Settlement UTR: UTR0000000030,UTR0000000030,6186126,0,250903168
2026-05-17,Razorpay Settlement UTR: UTR0000000002,UTR0000000002,7101240,0,109305239
2026-05-19,Razorpay Settlement UTR: UTR0000000025,UTR0000000025,8930533,0,222527794
2026-06-19,Razorpay Settlement UTR: UTR0000000016,UTR0000000016,9965207,0,179951705
2026-06-20,Razorpay Settlement UTR: UTR0000000033,UTR0000000033,6169599,0,267313388
2026-06-23,Razorpay Settlement UTR: UTR0000000022,UTR0000000022,4062563,0,192884618
2026-06-26,Razorpay Settlement UTR: UTR0000000024,UTR0000000024,11804549,0,213597261
2026-06-27,Razorpay Settlement UTR: UTR0000000012,UTR0000000012,3513342,0,149542515
2026-07-17,Razorpay Settlement UTR: UTR0000000006,UTR0000000006,4604847,0,118687840
2026-07-25,Razorpay Settlement UTR: UTR0000000004,UTR0000000004,3839449,0,113619577
2026-07-26,Razorpay Settlement UTR: UTR0000000005,UTR0000000005,463416,0,114082993
