transaction_id,date,type,amount,description,counterparty,status,settlement_id,utr
txn_ESm2WLEo,2026-01-08,fee,-300,Platform fee - Monthly billing,Ola Cabs Private Limited,settled,SETT0001,UTR0000000001
txn_1XczKWpr,2026-01-08,fee,-227.28,Platform fee - Monthly billing,Ola Cabs Private Limited,settled,SETT0001,UTR0000000001
txn_FOlisrab,2026-01-08,payment,33368.95,Payment received via QR code - #2424 [card],Ola Cabs Private Limited,settled,SETT0001,UTR0000000001
txn_J7UFF0ly,2026-01-08,payment,12626.85,Payment received for order #3615 [netbanking],Ola Cabs Private Limited,settled,SETT0001,UTR0000000001
txn_PcQ5qNUv,2026-01-08,refund,-23955.81,Full refund processed - Transaction #3803,Ola Cabs Private Limited,settled,SETT0001,UTR0000000001
txn_yxYE4jsN,2026-01-08,tax,-94.91,GST collected on platform fees,Ola Cabs Private Limited,settled,SETT0001,UTR0000000001
txn_riSSJrrK,2026-01-21,fee,-300,Processing fee for international txn,BookMyShow Events Pvt Ltd,settled,SETT0023,UTR0000000023
txn_9xOeWjc8,2026-01-21,fee,-500,Settlement fee applied,BookMyShow Events Pvt Ltd,settled,SETT0023,UTR0000000023
txn_T9sgvzE8,2026-01-21,fee,-3,Platform fee - Monthly billing,BookMyShow Events Pvt Ltd,settled,SETT0023,UTR0000000023
txn_wWXjlq6X,2026-01-21,payment,42882.6,Online payment via UPI - Ref #8179 [upi],BookMyShow Events Pvt Ltd,settled,SETT0023,UTR0000000023
txn_oPHteXiQ,2026-01-21,payment,34374.34,International payment processed - Ref #3255 [card],BookMyShow Events Pvt Ltd,settled,SETT0023,UTR0000000023
txn_4eH0c3bF,2026-01-21,payment,11824.0,Wallet payment processed - Ref #4515 [international],BookMyShow Events Pvt Ltd,settled,SETT0023,UTR0000000023
txn_PKoBAwOU,2026-01-25,fee,-3,Transaction fee - 2% of amount,Amazon Seller Services,settled,SETT0015,UTR0000000015
txn_MN1UJ3A1,2026-01-25,payment,5797.69,International payment processed - Ref #4362 [upi],Amazon Seller Services,pending,SETT0015,UTR0000000015
txn_DtgudwfG,2026-01-25,tax,-0.54,GST collected on platform fees,Amazon Seller Services,settled,SETT0015,UTR0000000015
txn_a65mpH3f,2026-02-03,fee,-500,Settlement fee applied,Flipkart Online Services Pvt Ltd,settled,SETT0007,UTR0000000007
txn_riLpXuKj,2026-02-03,fee,-75.18,Processing fee for international txn,Flipkart Online Services Pvt Ltd,settled,SETT0007,UTR0000000007
txn_uRRDvoOt,2026-02-03,fee,-359.23,Refund processing fee,Ola Cabs Private Limited,settled,SETT0026,UTR0000000026
txn_Zz5CzwLu,2026-02-03,fee,-92.36,MDR charges for UPI transaction,Ola Cabs Private Limited,settled,SETT0026,UTR0000000026
txn_AjG8R9he,2026-02-03,fee,-500,Gateway convenience fee #1613,Ola Cabs Private Limited,settled,SETT0026,UTR0000000026
txn_8h6H8L7Q,2026-02-03,payment,43514.98,Netbanking transfer - Ref #6753 [netbanking],Flipkart Online Services Pvt Ltd,settled,SETT0007,UTR0000000007
txn_lfXjPrA5,2026-02-03,payment,5011.85,EMI payment received - Ref #6663 [netbanking],Flipkart Online Services Pvt Ltd,settled,SETT0007,UTR0000000007
txn_h3YVvJC7,2026-02-03,payment,14369.28,Payment for subscription renewal #5480 [upi],Ola Cabs Private Limited,settled,SETT0026,UTR0000000026
txn_zQiQGtOD,2026-02-03,payment,3694.47,Wallet payment processed - Ref #5201 [netbanking],Ola Cabs Private Limited,settled,SETT0026,UTR0000000026
txn_sGvAi5Z5,2026-02-03,payment,40747.51,Credit card payment processed - Ref #4814 [upi],Ola Cabs Private Limited,settled,SETT0026,UTR0000000026
txn_GKcPLtxj,2026-02-03,refund,-32855.76,Goodwill credit issued #5470,Ola Cabs Private Limited,settled,SETT0026,UTR0000000026
txn_x4i8iIPM,2026-02-04,fee,-400,Gateway convenience fee #3365,Amazon Seller Services,settled,SETT0028,UTR0000000028
txn_FsLQpl2L,2026-02-04,fee,-35,Refund processing fee,Amazon Seller Services,settled,SETT0028,UTR0000000028
txn_M4S4NLtu,2026-02-04,fee,-400,Settlement fee applied,Amazon Seller Services,settled,SETT0028,UTR0000000028
txn_YOTRcoTW,2026-02-04,fee,-347.58,Settlement fee applied,Amazon Seller Services,settled,SETT0028,UTR0000000028
txn_v2AMGClr,2026-02-04,payment,39403.09,Customer payment - Invoice #1527 [wallet],Amazon Seller Services,settled,SETT0028,UTR0000000028
txn_uwI9O4jj,2026-02-04,payment,2333.13,Payment received for order #7590 [card],Amazon Seller Services,settled,SETT0028,UTR0000000028
txn_oNSD624m,2026-02-04,payment,34798.34,Payment for subscription renewal #4881 [upi],Amazon Seller Services,settled,SETT0028,UTR0000000028
txn_pwTZJXud,2026-02-04,payment,19309.95,Wallet payment processed - Ref #1768 [international],Amazon Seller Services,failed,SETT0028,UTR0000000028
txn_svTMTC1t,2026-02-04,refund,-30910.14,Goodwill credit issued #2615,Amazon Seller Services,pending,SETT0028,UTR0000000028
txn_iksSMOjP,2026-02-04,tax,-212.86,GST collected on platform fees,Amazon Seller Services,settled,SETT0028,UTR0000000028
txn_pTOHXIYk,2026-02-05,fee,-3,Gateway convenience fee #2388,BookMyShow Events Pvt Ltd,settled,SETT0032,UTR0000000032
txn_eh45KKRL,2026-02-05,fee,-331.12,Chargeback processing fee #4043,BookMyShow Events Pvt Ltd,settled,SETT0032,UTR0000000032
txn_ANRrxjxh,2026-02-05,payment,1459.27,International payment processed - Ref #4232 [card],BookMyShow Events Pvt Ltd,settled,SETT0032,UTR0000000032
txn_e7TYYHVc,2026-02-05,payment,16555.82,Credit card payment processed - Ref #8496 [upi],BookMyShow Events Pvt Ltd,settled,SETT0032,UTR0000000032
txn_rZHBUxmz,2026-02-10,fee,-3,Chargeback processing fee #7626,Paytm Payments Bank,settled,SETT0017,UTR0000000017
